,faa,qa_faa,qa_name,qa_lat,qa_lon,qa_alt,qa_tz,qa_dst
0,04G,F,,,,,,
1,06A,F,,,,,,
2,06C,F,,,,,,
3,06N,F,,,,,,
4,09J,F,,,,,,
5,0A9,F,,,,,,
6,0G6,F,,,,,,
7,0G7,F,,,,,,
8,0P2,F,,,,,,
9,0S9,F,,,,,,
10,0W3,F,,,,,,
11,10C,F,,,,,,
12,17G,F,,,,,,
13,19A,F,,,,,,
14,1A3,F,,,,,,
15,1B9,F,,,,,,
16,1C9,F,,,,,,
17,1CS,F,,,,,,
18,1G3,F,,,,,,
19,1OH,F,,,,,,
20,1RL,F,,,,,,
21,24C,F,,,,,,
22,24J,F,,,,,,
23,25D,F,,,,,,
24,29D,F,,,,,,
25,2A0,F,,,,,,
26,2G2,F,,,,,,
27,2G9,F,,,,,,
28,2J9,F,,,,,,
29,369,F,,,,,,
30,36U,F,,,,,,
31,38W,F,,,,,,
32,3D2,F,,,,,,
33,3G3,F,,,,,,
34,3G4,F,,,,,,
35,3J1,F,,,,,,
36,3W2,F,,,,,,
37,40J,F,,,,,,
38,41N,F,,,,,,
39,47A,F,,,,,,
40,49A,F,,,,,,
41,49X,F,,,,,,
42,4A4,F,,,,,,
43,4A7,F,,,,,,
44,4A9,F,,,,,,
45,4B8,F,,,,,,
46,4G0,F,,,,,,
47,4G2,F,,,,,,
48,4G4,F,,,,,,
49,4I7,F,,,,,,
50,4U9,F,,,,,,
51,52A,F,,,,,,
52,54J,F,,,,,,
53,55J,F,,,,,,
54,57C,F,,,,,,
55,60J,F,,,,,,
56,6A2,F,,,,,,
57,6K8,F,,,,,,
58,6S0,F,,,,,,
59,6S2,F,,,,,,
60,6Y8,F,,,,,,
61,70J,F,,,,,,
62,70N,F,,,,,,
63,7A4,F,,,,,,
64,7D9,F,,,,,,
65,7N7,F,,,,,,
66,8M8,F,,,,,,
67,93C,F,,,,,,
68,99N,F,,,,,,
69,9A1,F,,,,,,
70,9A5,F,,,,,,
71,A39,F,,,,,,
72,AAF,F,,,,,,
73,ABE,F,,,,,,
74,ABI,F,,,,,,
75,ABL,F,,,,,,
76,ABQ,F,,,,,,
77,ABR,F,,,,,,
78,ABY,F,,,,,,
79,ACK,F,,,,,,
80,ACT,F,,,,,,
81,ACV,F,,,,,,
82,ACY,F,,,,,,
83,ADK,F,,,,,,
84,ADM,F,,,,,,
85,ADQ,F,,,,,,
86,ADS,F,,,,,,
87,ADW,F,,,,,,
88,AET,F,,,,,,
89,AEX,F,,,,,,
90,AFE,F,,,,,,
91,AFW,F,,,,,,
92,AGC,F,,,,,,
93,AGN,F,,,,,,
94,AGS,F,,,,,,
95,AHN,F,,,,,,
96,AIA,F,,,,,,
97,AIK,F,,,,,,
98,AIN,F,,,,,,
99,AIZ,F,,,,,,
100,AKB,F,,,,,,
101,AKC,F,,,,,,
102,AKI,F,,,,,,
103,AKK,F,,,,,,
104,AKN,F,,,,,,
105,AKP,F,,,,,,
106,ALB,F,,,,,,
107,ALI,F,,,,,,
108,ALM,F,,,,,,
109,ALO,F,,,,,,
110,ALS,F,,,,,,
111,ALW,F,,,,,,
112,ALX,F,,,,,,
113,ALZ,F,,,,,,
114,AMA,F,,,,,,
115,ANB,F,,,,,,
116,ANC,F,,,,,,
117,AND,F,,,,,,
118,ANI,F,,,,,,
