,tailnum,origin,dest,qa_year_month_day,qa_hour_minute,qa_dep_arr_time,qa_dep_arr_delay,qa_carrier,qa_tailnum,qa_flight,qa_origin_dest,qa_air_time,qa_distance,qa_distance_airtime
0,N846VA,SEA,LAX,,,,,,,,,,,TL
1,N559AS,SEA,HNL,,,,,,,F,,,,TL
2,N847VA,SEA,SFO,,,,,,,F,,,,TL
3,N360SW,PDX,SJC,,,,,,,F,,,,TR
4,N612AS,SEA,BUR,,,,,,,F,,,,TL
5,N646SW,PDX,DEN,,,,,,,F,,,,TR
6,N422WN,PDX,OAK,,,,,,,,,,,TL
7,N361VA,SEA,SFO,,,,,,,F,,,,TL
8,N309AS,SEA,SAN,,,,,,,F,,,,TL
9,N564AS,SEA,ORD,,,,,,,F,,,,TR
10,N323AS,SEA,LAX,,,,,,,F,,,,TL
11,N305AS,SEA,PHX,,,,,,,F,,,,TL
12,N433AS,SEA,LAS,,,,,,,F,,,,TL
13,N765AS,SEA,ANC,,,,,,,F,,,,TL
14,N713AS,SEA,SFO,,,,,,,F,,,,TL
15,N27205,PDX,SFO,,,,,,F,,,,,TL
16,N626AS,SEA,SMF,,,,,,,F,,,,TR
17,N8634A,SEA,MDW,,,,,,,F,,,,TL
18,N597AS,SEA,BOS,,,,,,,F,,,,TL
19,N215AG,PDX,BUR,,,,,,,,,,,TR
20,N519AS,SEA,SFO,,,,,,,F,,,,TL
21,N127UW,SEA,PHL,,,,,,,F,,,,TL
22,N354NW,SEA,LAX,,,,,,,,,,,TR
23,N825SK,SEA,SJC,,,,,,,,,,,TR
24,N218AG,PDX,BUR,,,,,,,,,,,TR
25,N793SA,PDX,RNO,,,,,,,,,,,TR
26,N520AS,SEA,SFO,,,,,,,F,,,,TL
27,N217AG,SEA,FAT,,,,,,,,,,,TR
28,N395HA,SEA,OGG,,,,,,,F,,,,TL
29,N549AS,SEA,LAS,,,,,,,F,,,,TL
30,N951SW,PDX,BUR,,,,,,,,,,,TR
31,N606JB,SEA,LGB,,,,,,,,,,,TR
32,N461AS,SEA,SAN,,,,,,,F,,,,TR
33,N590JB,SEA,ANC,,,,,,,F,,,,TL
34,N778AS,SEA,SJC,,,,,,,F,,,,TL
35,N512AS,SEA,LIH,,,,,,,F,,,,TL
36,N407AS,SEA,MCO,,,,,,,F,,,,TL
37,N824DN,SEA,ATL,,,,,,,,,,,TR
38,N223AG,PDX,SLC,,,,,,,,,,,TR
39,N204FR,PDX,DEN,,,,,,,F,,,,TR
40,N402AS,SEA,ANC,,,FA,,,,F,,,,TL
41,N589AS,SEA,ABQ,,,,,,,F,,,,TR
42,N587AS,SEA,LAS,,,,,,,F,,,,TR
43,N68805,SEA,IAH,,,,,,F,,,,,TL
44,N969SW,PDX,SFO,,,,,,,,,,,TL
45,N662AW,SEA,PHX,,,,,,,F,,,,TL
46,N309US,PDX,MSP,,,,,,,,,,,TR
47,N172US,SEA,PHX,,,,,,,F,,,,TL
48,N579UW,PDX,PHX,,,,,,,F,,,,TL
49,N315AS,SEA,TUS,,,,,,,F,,,,TL
50,N157UW,PDX,PHX,,,,,,,F,,,,TR
51,N799AS,PDX,LAX,,,,,,,F,,,,TL
52,N37468,SEA,EWR,,,,,,F,,,,,TR
53,N565AS,SEA,SJC,,,,,,,F,,,,TL
54,N583AS,SEA,BOS,,,,,,,F,,,,TL
55,N585AS,SEA,ANC,,,,,,,F,,,,TL
56,N577AS,SEA,SMF,,,,,,,F,,,,TS
57,N516AS,SEA,SJC,,,,,,,F,,,,TL
58,N225AG,PDX,SLC,,,,,,,,,,,TR
59,N559UA,PDX,ORD,,,,,,,F,,,,TL
60,N569SW,PDX,EUG,,,,,,,,,,,TR
61,N315AS,SEA,GEG,,,,,,,F,,,,TR
62,N364SW,SEA,OAK,,,,,,,F,,,,TL
63,N219AG,SEA,COS,,,,,,,,,,,TR
64,N37419,SEA,IAH,,,,,,F,,,,,TR
65,N918SW,PDX,SFO,,,,,,,,,,,TL
66,N459AS,PDX,ANC,,,FA,,,,F,,,,TL
67,N622AS,SEA,PHX,,,,,,,F,,,,TR
68,N4YJAA,PDX,DFW,,,,,,F,,,,,TR
69,N640AW,SEA,PHX,,,,,,,F,,,,TR
